1006,Персонажи,Лиза
1014,Персонажи,Барбара
1015,Персонажи,Кэйа
1020,Персонажи,Рэйзор
1021,Персонажи,Эмбер
1023,Персонажи,Сян Лин
1024,Персонажи,Бэй Доу
1025,Персонажи,Син Цю
1027,Персонажи,Нин Гуан
1031,Персонажи,Фишль
1032,Персонажи,Беннет
1034,Персонажи,Ноэлль
1036,Персонажи,Чун Юнь
1039,Персонажи,Диона
1043,Персонажи,Сахароза
1044,Персонажи,Синь Янь
11401,Оружие,Меч Фавония
11402,Оружие,Меч-флейта
11403,Оружие,Церемониальный меч
11405,Оружие,Драконий рык
12401,Оружие,Двуручный меч Фавония
12402,Оружие,Меч-колокол
12403,Оружие,Церемониальный двуручный меч
12405,Оружие,Дождерез
12410,Оружие,Древний меч Миллелитов
13401,Оружие,Гроза драконов
13406,Оружие,Копьё Миллелитов
13407,Оружие,Копьё Фавония
14401,Оружие,Кодекс Фавония
14402,Оружие,Песнь странника
14403,Оружие,Ритуальные мемуары
14409,Оружие,Око сознания
15401,Оружие,Боевой лук Фавония
15402,Оружие,Бесструнный
15403,Оружие,Церемониальный лук
15405,Оружие,Ржавый лук
