-2,Figur,Bennett,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/34174afbaa2a611d3ce01feb19b4c78d_7607137126309403414.png,火
-2,Figur,Chongyun,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/2e6f1640e2cfa4473b4d12c2046631aa_8569128189449234353.png,冰
-2,Figur,Saccharose,https://webstatic.mihoyo.com/upload/op-public/2021/02/04/5c4ba18c332000f4fca973c2b12efd24_4737383927492879433.png,风
-2,Figur,Xinyan,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/f4e12825c2f5c6092e4924bfa858e3d0_3798021985996233701.png,火
-3,Figur,Diona,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/1bb68f5d72f950607d250cef6c11c11a_960803883313570554.png,冰
-3,Figur,Ningguang,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/20165f7436dbf4e5c293c6da7872d29e_3694465760116699065.png,岩
-3,Figur,Noelle,https://webstatic.mihoyo.com/upload/op-public/2021/02/04/fbc4ea93695d993e12be63ed0f8e030c_1463308409562920574.png,岩
-3,Figur,Xingqiu,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/b06a34bdb0188fa86f05462ea18bc6f4_4245051941022922086.png,水
-3,Waffe,Favonius-Jagdbogen,https://webstatic.mihoyo.com/upload/op-public/2021/02/04/78c343af7418e5675407bb866bf5b2b4_5627855151875708832.png,
-3,Waffe,Opferbogen,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/8985a21e7acabe77d935d148170cb0f9_226425679156451215.png,
-3,Waffe,Rostiger Bogen,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/d6fd2bf89ceaa3b87c90c78700a8ac42_2285258791190441596.png,
-4,Figur,Barbara,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/5a9383923a91526bafbb606f425f971c_581497180126613883.png,水
-4,Figur,Beidou,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/ceb2bd01f54c90b4364975339665b750_1774478511990332077.png,雷
-4,Figur,Razor,https://webstatic.mihoyo.com/upload/op-public/2021/02/04/8da5a4c95a6d7aaeb0872a20ad715f4f_1622229662098516465.png,雷
-4,Figur,Xiangling,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/645fa08745e818fa82e519eb7017cf4d_3694465760116699065.png,火
-4,Waffe,Herzensblick,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/ed0f0a1e4e560dd1c334f6b47448e5e1_8339715369432445071.png,
-4,Waffe,Landstreichernoten,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/1ebcc0a0b65c97fcd9aa96cb574ec1e0_2612086613427306353.png,
-4,Waffe,Wein und Gesang in den Gassen,https://webstatic.mihoyo.com/upload/op-public/2021/02/04/d06053716c4e098cc5356db4ffb1e6b2_915393835136548042.png,
-5,Waffe,Drachenschreck,https://webstatic.mihoyo.com/upload/op-public/2021/02/04/1f39c66bd5712a580ba5e9ce754f1d56_3700396458767437212.png,
-5,Waffe,Favonius-Lanze,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/e0d1e08061b1112e51db3945753983d5_8936283756238780530.png,
-5,Waffe,Millelithenlanze,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/f8b2eb35f3206a759b887cb1a427f6d2_3202473532256995103.png,
-6,Waffe,Antikes Millelithenschwert,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/7593afb8ac43103ce34cfe7d91f2b7b9_2445288272399872818.png,
-6,Waffe,Favonius-Großschwert,https://webstatic.mihoyo.com/upload/op-public/2021/02/04/846212d131c5ca4ff2f3955751577320_782282415809405008.png,
-6,Waffe,Opfergroßschwert,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/fff836b8342bf455b18d0ab3ff422e0b_5122407819721889683.png,
-7,Waffe,Drachenschrei,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/4c5eb5c266e8a4dc6c9abcfe58c4557d_4867340351758378032.png,
-7,Waffe,Flöte,https://webstatic.mihoyo.com/upload/op-public/2021/01/25/7dea6e506388101486beb5a7652e7d0e_1816165728530143947.png,
-7,Waffe,Gassenleuchte,https://webstatic.mihoyo.com/upload/op-public/2021/02/04/808ec77e6f2097c5e6dea2823784047e_5128366988035074057.png,
1006,Figur,Lisa,,
1014,Figur,Barbara,,
1015,Figur,Kaeya,,
1020,Figur,Razor,,
1021,Figur,Amber,,
1023,Figur,Xiangling,,
1024,Figur,Beidou,,
1025,Figur,Xingqiu,,
1027,Figur,Ningguang,,
1031,Figur,Fischl,,
1032,Figur,Bennett,,
1034,Figur,Noelle,,
1036,Figur,Chongyun,,
1039,Figur,Diona,,
1043,Figur,Saccharose,,
1044,Figur,Xinyan,,
11401,Waffe,Favonius-Schwert,,
11402,Waffe,Flöte,,
11403,Waffe,Opferschwert,,
11405,Waffe,Drachenschrei,,
12401,Waffe,Favonius-Großschwert,,
12402,Waffe,Glocke,,
12403,Waffe,Opfergroßschwert,,
12405,Waffe,Regenschnitter,,
12410,Waffe,Antikes Millelithenschwert,,
13401,Waffe,Drachenschreck,,
13406,Waffe,Millelithenlanze,,
13407,Waffe,Favonius-Lanze,,
14401,Waffe,Favonius-Kodex,,
14402,Waffe,Landstreichernoten,,
14403,Waffe,Opferrituale,,
14409,Waffe,Herzensblick,,
15401,Waffe,Favonius-Jagdbogen,,
15402,Waffe,Der Sehnenlose,,
15403,Waffe,Opferbogen,,
15405,Waffe,Rostiger Bogen,,
