1006,Karakter,Lisa
1014,Karakter,Barbara
1015,Karakter,Kaeya
1020,Karakter,Razor
1021,Karakter,Amber
1023,Karakter,Xiangling
1024,Karakter,Beidou
1025,Karakter,Xingqiu
1027,Karakter,Ningguang
1031,Karakter,Fischl
1032,Karakter,Bennett
1034,Karakter,Noelle
1036,Karakter,Chongyun
1039,Karakter,Diona
1043,Karakter,Sucrose
1044,Karakter,Xinyan
11401,Senjata,Favonius Sword
11402,Senjata,The Flute
11403,Senjata,Sacrificial Sword
11405,Senjata,Lion's Roar
12401,Senjata,Favonius Greatsword
12402,Senjata,The Bell
12403,Senjata,Sacrificial Greatsword
12405,Senjata,Rainslasher
13401,Senjata,Dragon's Bane
13407,Senjata,Favonius Lance
14401,Senjata,Favonius Codex
14402,Senjata,The Widsith
14403,Senjata,Sacrificial Fragments
14409,Senjata,Eye of Perception
15401,Senjata,Favonius Warbow
15402,Senjata,The Stringless
15403,Senjata,Sacrificial Bow
15405,Senjata,Rust
